year,new born baby,female count,female economic rate,Childhood education rate,marriage age,housing price
2001,554895,13143136,49.3,55.3,28.17,58.6
2002,492111,13131607,49.8,59.1,28.39,68.2
2003,490543,13120079,49,61.8,28.71,70.7
2004,472761,13108550,49.9,65.9,29.03,68.9
2005,435031,13097021,50.1,70.5,29.3,71.5
2006,448153,13024617,50.3,77,29.38,79.8
2007,493189,12952213,50.2,82.8,29.6,84.4
2008,465892,12879810,50,83.4,29.85,89.4
2009,444849,12807406,49.2,83.8,30.16,90.7
2010,470171,12735002,49.4,84.7,30.38,92
2011,471265,12754283,49.7,85.2,30.52,97.7
2012,484550,12773564,49.9,88.1,30.77,96.3
2013,436455,12792845,50.2,91.9,30.9,96.6
2014,435435,12812126,51.3,91.4,31.12,98.2
2015,438420,12831407,51.8,92.1,31.27,101.7
