year,total birth rate,female economic rate,education rate,marriage age,housing price
2000,1.467,48.8,10.2,27.89,53.3
2001,1.297,49.3,9.8,28.17,58.6
2002,1.166,49.8,9.8,28.39,68.2
2003,1.18,49,10.3,28.71,70.7
2004,1.154,49.9,10.8,29.03,68.9
2005,1.076,50.1,11,29.3,71.5
2006,1.123,50.3,10.9,29.38,79.8
2007,1.25,50.2,10.9,29.6,84.4
2008,1.192,50,11.3,29.85,89.4
2009,1.149,49.2,,30.16,90.7
2010,1.226,49.4,,30.38,92
2011,1.244,49.7,,30.52,97.7
2012,1.297,49.9,,30.77,96.3
2013,1.187,50.2,,30.9,96.6
2014,1.205,51.3,,31.12,98.2
2015,1.239,51.8,,31.27,101.7
2016,1.17,52.1,,31.45,102.4
