year,0f,5f,10f,15f,20f,25f,30f,35f,40f,45f,50f,55f,60f,65f,70ormore
1925_total,3069586 ,2324093 ,2157223 ,1877067 ,1470283 ,1472542 ,1259397 ,1139847 ,949548 ,817690 ,673697 ,588370 ,480125 ,389454 ,351108
1925_male,1560053 ,1200503 ,1117122 ,964186 ,749424 ,754495 ,654292 ,594448 ,497970 ,425428 ,347447 ,291999 ,231498 ,181586 ,155699
1925_female,1509533 ,1123590 ,1040101 ,912881 ,720859 ,718047 ,605105 ,545399 ,451578 ,392262 ,326250 ,296371 ,248627 ,207868 ,195409
1930_total,3281683 ,2657660 ,2220479 ,2051939 ,1711543 ,1371976 ,1384062 ,1197402 ,1055400 ,889145 ,737442 ,607955 ,483750 ,367736 ,419936
1930_male,1661240 ,1361625 ,1153608 ,1058199 ,860573 ,692154 ,706726 ,618681 ,548241 ,460921 ,379603 ,305594 ,235138 ,171553 ,185033
1930_female,1620443 ,1296035 ,1066871 ,993740 ,850970 ,679822 ,677336 ,578721 ,507159 ,428224 ,357839 ,302361 ,248612 ,196183 ,234903
1935_total,3671581 ,2886471 ,2531631 ,2101905 ,1897029 ,1613770 ,1285942 ,1308753 ,1112764 ,991393 ,797501 ,666028 ,503268 ,381639 ,458427
1935_male,1864127 ,1478064 ,1301810 ,1080314 ,959748 ,811545 ,652568 ,669307 ,572611 ,508714 ,409120 ,334045 ,248205 ,179466 ,201361
1935_female,1807454 ,1408407 ,1229821 ,1021591 ,937281 ,802225 ,633374 ,639446 ,540153 ,482679 ,388381 ,331983 ,255063 ,202173 ,257066
1940_total,3897658 ,3237238 ,2721264 ,2263663 ,1835093 ,1704599 ,1456721 ,1205407 ,1201302 ,1016874 ,885031 ,713241 ,552549 ,391881 ,464944
1940_male,1974157 ,1655425 ,1398317 ,1142250 ,908119 ,845382 ,725152 ,606498 ,608860 ,515050 ,445617 ,355954 ,270603 ,186391 ,201520
1940_female,1923501 ,1581813 ,1322947 ,1121413 ,926974 ,859217 ,731569 ,598909 ,592442 ,501824 ,439414 ,357287 ,281946 ,205490 ,263424
1944_total,4278618 ,3562531 ,3008747 ,2350425 ,1869326 ,1671576 ,1567460 ,1356763 ,1138860 ,1086046 ,902634 ,743975 ,607464 ,426058 ,549691
1944_male,2159146 ,1815269 ,1545793 ,1174771 ,889337 ,812916 ,768255 ,675127 ,575438 ,554141 ,451506 ,366961 ,293122 ,200965 ,238426
1944_female,2119472 ,1747262 ,1462954 ,1175654 ,979989 ,858660 ,799205 ,681636 ,563422 ,531905 ,451128 ,377014 ,314342 ,225093 ,311265
1955_total,3376648 ,2867388 ,2621021 ,2394911 ,1754400 ,1439127 ,1389448 ,1168579 ,1054062 ,947881 ,679901 ,614994 ,480506 ,359204 ,354316
1955_male,1742778 ,1495871 ,1371568 ,1256904 ,808143 ,635243 ,679017 ,585542 ,530158 ,496405 ,337483 ,295560 ,217405 ,156091 ,144805
1955_female,1633870 ,1371517 ,1249453 ,1138007 ,946257 ,803884 ,710431 ,583037 ,523904 ,451476 ,342418 ,319434 ,263101 ,203113 ,209511
1960_total,3549564 ,3781551 ,2822255 ,2383154 ,2279449 ,1913186 ,1556334 ,1416737 ,1187470 ,1033761 ,884576 ,664538 ,566571 ,404732 ,530274
1960_male,1820312 ,1958379 ,1480279 ,1248791 ,1175602 ,916751 ,727096 ,687559 ,598867 ,518017 ,444283 ,318745 ,257447 ,174206 ,210284
1960_female,1729252 ,1823172 ,1341976 ,1134363 ,1103847 ,996435 ,829238 ,729178 ,588603 ,515744 ,440293 ,345793 ,309124 ,230526 ,316990
1966_total,4480921 ,4612872 ,3590027 ,2708146 ,2298683 ,2244334 ,1959774 ,1552795 ,1346826 ,1116535 ,947632 ,788723 ,550953 ,437384 ,523935
1966_male,2318664 ,2391295 ,1857472 ,1399246 ,1203321 ,1116120 ,975994 ,734345 ,659331 ,559889 ,465588 ,376426 ,248035 ,182750 ,195574
1966_female,2162257 ,2221577 ,1732555 ,1308900 ,1095362 ,1128214 ,983780 ,818450 ,687495 ,556646 ,482044 ,412297 ,302918 ,254634 ,328361
1970_total,4316143 ,4531942 ,4393348 ,3088134 ,2523170 ,2204293 ,2193279 ,1854200 ,1461903 ,1284628 ,1024535 ,855041 ,665258 ,434715 ,604663
1970_male,2228736 ,2349086 ,2274301 ,1573179 ,1298687 ,1096819 ,1108853 ,915069 ,691062 ,628934 ,506554 ,407895 ,302362 ,181431 ,216647
1970_female,2087407 ,2182856 ,2119047 ,1514955 ,1224483 ,1107474 ,1084426 ,939131 ,770841 ,655694 ,517981 ,447146 ,362896 ,253284 ,388016
1975_total,4227360 ,4453698 ,4527330 ,4146912 ,3123126 ,2507450 ,2224238 ,2189144 ,1800153 ,1398820 ,1197379 ,939205 ,737552 ,542827 ,663772
1975_male,2189456 ,2302542 ,2348676 ,2124156 ,1611767 ,1271743 ,1131486 ,1111449 ,885250 ,649961 ,576664 ,449224 ,334479 ,229780 ,228607
1975_female,2037904 ,2151156 ,2178654 ,2022756 ,1511359 ,1235707 ,1092752 ,1077695 ,914903 ,748859 ,620715 ,489981 ,403073 ,313047 ,435165
1980_total,3794692 ,4420946 ,4440137 ,4239729 ,4053638 ,3082172 ,2519241 ,2223341 ,2131651 ,1781813 ,1325925 ,1125353 ,822057 ,620283 ,825831
1980_male,1963963 ,2282813 ,2293386 ,2186973 ,2067729 ,1540965 ,1293533 ,1127158 ,1080457 ,868659 ,609166 ,521797 ,373222 ,260597 ,278884
1980_female,1830729 ,2138133 ,2146751 ,2052756 ,1985909 ,1541207 ,1225708 ,1096183 ,1051194 ,913154 ,716759 ,603556 ,448835 ,359686 ,546947
1985_total,3702555 ,3916350 ,4475985 ,4316264 ,4245090 ,4070408 ,3115238 ,2581181 ,2187508 ,2089212 ,1695259 ,1267757 ,1006876 ,722817 ,1026732
1985_male,1922758 ,2025353 ,2310570 ,2227322 ,2185720 ,2027185 ,1589610 ,1324369 ,1108685 ,1042989 ,809619 ,560580 ,440387 ,306710 ,345369
1985_female,1779797 ,1890997 ,2165415 ,2088942 ,2059370 ,2043223 ,1525628 ,1256812 ,1078823 ,1046223 ,885640 ,707177 ,566489 ,416107 ,681363
1990_total,3279790 ,3862508 ,3991917 ,4448996 ,4396309 ,4333500 ,4207714 ,3201210 ,2539269 ,2176890 ,2010018 ,1622853 ,1157059 ,900314 ,1261925
1990_male,1726863 ,1999001 ,2054494 ,2267129 ,2294290 ,2160912 ,2142825 ,1648205 ,1315182 ,1100966 ,994511 ,760993 ,494845 ,375752 ,434904
1990_female,1552927 ,1863507 ,1937423 ,2181867 ,2102019 ,2172588 ,2064889 ,1553005 ,1224087 ,1075924 ,1015507 ,861860 ,662214 ,524562 ,827021
1995_total,3427409 ,3096115 ,3711980 ,3863491 ,4304378 ,4137913 ,4230239 ,4133864 ,3071101 ,2464295 ,2063768 ,1913461 ,1495082 ,1043979 ,1596226
1995_male,1821350 ,1626922 ,1913801 ,1987044 ,2237940 ,2078417 ,2146351 ,2103016 ,1579850 ,1261509 ,1028887 ,923625 ,673719 ,420873 ,553831
1995_female,1606059 ,1469193 ,1798179 ,1876447 ,2066438 ,2059496 ,2083888 ,2030848 ,1491251 ,1202786 ,1034881 ,989836 ,821363 ,623106 ,1042395
2000_total,3130258 ,3444056 ,3064442 ,3691584 ,3848186 ,4096978 ,4093228 ,4186953 ,3996336 ,2952023 ,2350250 ,1968472 ,1788849 ,1376122 ,1995684
2000_male,1641166 ,1831446 ,1615013 ,1913885 ,2028206 ,2057321 ,2068202 ,2117492 ,2029413 ,1496104 ,1185239 ,959680 ,836465 ,593974 ,693423
2000_female,1489092 ,1612610 ,1449429 ,1777699 ,1819980 ,2039657 ,2025026 ,2069461 ,1966923 ,1455919 ,1165011 ,1008792 ,952384 ,782148 ,1302261
2005_total,2382350 ,3168887 ,3434891 ,3100523 ,3662123 ,3671847 ,4096282 ,4112785 ,4123041 ,3900899 ,2855297 ,2278438 ,1888853 ,1680067 ,2685151
2005_male,1237301 ,1654228 ,1816318 ,1626378 ,1915902 ,1858332 ,2059913 ,2065668 ,2082427 ,1961859 ,1426597 ,1126997 ,897384 ,755949 ,980397
2005_female,1145049 ,1514659 ,1618573 ,1474145 ,1746221 ,1813515 ,2036369 ,2047117 ,2040614 ,1939040 ,1428700 ,1151441 ,991469 ,924118 ,1704754
2010_total,2219084 ,2394663 ,3173226 ,3438414 ,3055420 ,3538949 ,3695348 ,4099147 ,4131423 ,4073358 ,3798131 ,2766695 ,2182236 ,1812168 ,3612499
2010_male,1142220 ,1243294 ,1654964 ,1826179 ,1625371 ,1802805 ,1866397 ,2060233 ,2071431 ,2044641 ,1887973 ,1360747 ,1057035 ,833242 ,1364364
2010_female,1076864 ,1151369 ,1518262 ,1612235 ,1430049 ,1736144 ,1828951 ,2038914 ,2059992 ,2028717 ,1910158 ,1405948 ,1125201 ,978926 ,2248135
